자치구별(2),개소 (개),좌석수 (개),자료수 (권),자료수 (권),자료수 (권),도서관 방문자수 (명),연간대출 책수 (권),직원수 (명),직원수 (명),직원수 (명),예산 (백만원)
자치구별(2),소계,소계,도서,비도서,연속간행물(종),소계,소계,소계,남자,여자,소계
소계,212,45943,16537991,549155,19034,52250034,26881519,3336,880,2456,248545
종로구,9,2491,1156604,56931,1566,2793932,925983,208,66,142,15049
중구,9,1070,883965,25259,710,1615713,770049,123,14,109,48302
용산구,4,1202,876770,32263,1357,1899569,621848,107,28,79,8912
성동구,7,1511,552408,16123,288,2091145,892365,102,21,81,4804
광진구,8,1556,555828,7438,641,2605917,1283116,85,35,50,6136
동대문구,10,1136,657209,28648,785,1891544,1068935,135,42,93,8715
중랑구,5,1819,447152,10817,344,1286093,773432,92,24,68,4355
성북구,14,1929,670478,21164,335,1779040,805480,151,35,116,6763
강북구,7,1582,436059,12341,246,551090,486071,127,46,81,4315
도봉구,9,1892,673302,19537,716,1497271,768706,114,27,87,7885
노원구,9,2480,666381,34101,1071,3077368,1316184,186,54,132,13039
은평구,8,2373,639017,29801,1088,2659089,1057777,183,59,124,11493
서대문구,4,834,472227,13004,514,1514639,549837,72,23,49,5188
마포구,6,2300,767971,38179,1057,2796191,1426144,167,45,122,11335
양천구,10,1980,732796,34889,766,2977969,1614639,150,35,115,9387
강서구,9,2507,775076,29105,796,2116446,1290762,179,48,131,9857
구로구,13,2186,674789,22570,878,2007441,906321,140,35,105,8852
금천구,4,1098,362414,4795,508,580184,418259,49,13,36,2639
영등포구,7,1597,462139,20200,585,1298494,972872,114,24,90,8564
동작구,8,1102,461044,9415,521,1084596,818278,124,30,94,6699
관악구,5,810,402035,8242,657,549591,450829,52,17,35,2877
서초구,9,2015,492990,10120,552,2338765,1409257,130,30,100,9331
강남구,17,2758,1004731,31040,1237,4676882,2498486,231,52,179,13921
송파구,12,2362,749459,16980,728,3070859,1850539,164,49,115,9996
강동구,9,3353,965147,16193,1088,3490206,1905350,151,28,123,10133
